ID	Bschool	 BSchoolA	BSchoolB	BSchoolC	BSchoolD	GPA	GMAT	CollegeMajor	CollegeMajor1	CollegeMajor2	CollegeMajor3	CollegeMajor4	Gender	YearsofExperience
47	1	1	0	0	0	3.70	640	3	0	0	1	0	1	4
48	1	1	0	0	0	3.80	660	4	0	0	0	1	1	2
49	1	1	0	0	0	3.70	660	1	1	0	0	0	1	2
50	4	0	0	0	1	3.60	680	4	0	0	0	1	2	2
51	1	1	0	0	0	3.90	700	2	0	1	0	0	2	3
52	4	0	0	0	1	3.70	670	2	0	1	0	0	1	2
53	1	1	0	0	0	3.70	640	1	1	0	0	0	2	6
54	1	1	0	0	0	3.70	650	1	1	0	0	0	1	6
55	3	0	0	1	0	3.80	660	1	1	0	0	0	1	3
56	1	1	0	0	0	3.60	630	1	1	0	0	0	1	2
57	3	0	0	1	0	4.00	680	4	0	0	0	1	1	2
58	4	0	0	0	1	3.80	690	4	0	0	0	1	2	2
59	2	0	1	0	0	4.00	710	3	0	0	1	0	2	2
60	1	1	0	0	0	3.70	690	4	0	0	0	1	2	2
61	2	0	1	0	0	3.80	660	2	0	1	0	0	1	2
62	2	0	1	0	0	3.70	640	3	0	0	1	0	1	4
63	4	0	0	0	1	3.30	680	2	0	1	0	0	1	5
64	1	1	0	0	0	3.40	670	1	1	0	0	0	1	5
65	1	1	0	0	0	3.50	640	3	0	0	1	0	1	2
66	3	0	0	1	0	3.40	650	2	0	1	0	0	2	3
67	4	0	0	0	1	3.90	700	2	0	1	0	0	2	3
68	4	0	0	0	1	3.90	660	4	0	0	0	1	1	2
69	1	1	0	0	0	3.60	630	1	1	0	0	0	1	2
70	4	0	0	0	1	3.60	680	3	0	0	1	0	1	4
71	3	0	0	1	0	3.90	640	2	0	1	0	0	1	2
72	2	0	1	0	0	4.00	680	1	1	0	0	0	1	2
73	1	1	0	0	0	3.50	660	1	1	0	0	0	2	2
74	4	0	0	0	1	3.60	690	1	1	0	0	0	1	3
75	2	0	1	0	0	3.60	650	3	0	0	1	0	2	3
76	1	1	0	0	0	3.90	660	3	0	0	1	0	2	5
77	4	0	0	0	1	3.80	670	2	0	1	0	0	1	2
78	3	0	0	1	0	4.00	630	1	1	0	0	0	2	2
79	4	0	0	0	1	3.80	700	4	0	0	0	1	1	2
80	2	0	1	0	0	3.40	620	2	0	1	0	0	1	3
81	2	0	1	0	0	3.70	640	3	0	0	1	0	1	2
82	3	0	0	1	0	3.70	650	3	0	0	1	0	1	2
83	4	0	0	0	1	3.90	710	3	0	0	1	0	1	2
84	2	0	1	0	0	3.50	620	4	0	0	0	1	1	2
85	4	0	0	0	1	3.70	650	1	1	0	0	0	1	5
86	3	0	0	1	0	3.50	680	3	0	0	1	0	2	4
87	2	0	1	0	0	3.80	680	1	1	0	0	0	1	6
88	2	0	1	0	0	3.70	670	3	0	0	1	0	1	5
89	2	0	1	0	0	3.80	680	2	0	1	0	0	1	2
90	1	1	0	0	0	3.80	660	1	1	0	0	0	2	4
91	3	0	0	1	0	3.60	660	1	1	0	0	0	1	2
92	4	0	0	0	1	3.60	680	1	1	0	0	0	1	5
93	2	0	1	0	0	3.90	660	2	0	1	0	0	2	4
94	4	0	0	0	1	3.50	640	4	0	0	0	1	1	3
95	4	0	0	0	1	3.70	670	2	0	1	0	0	1	6
96	1	1	0	0	0	3.40	650	3	0	0	1	0	2	2
97	2	0	1	0	0	3.60	640	4	0	0	0	1	1	2
98	1	1	0	0	0	3.60	640	3	0	0	1	0	1	3
99	4	0	0	0	1	3.60	680	4	0	0	0	1	1	4
100	4	0	0	0	1	3.30	610	1	1	0	0	0	2	2
